"sku";"product-id";"product-id-type";"description";"internal-description";"price";"price-additional-info";"quantity";"min-quantity-alert";"state";"available-start-date";"available-end-date";"logistic-class";"favorite-rank";"discount-start-date";"discount-end-date";"discount-price";"update-delete";"allow-quote-requests";"leadtime-to-ship";"min-order-quantity";"max-order-quantity";"package-quantity";"price[channel=0100]";"discount-start-date[channel=0100]";"discount-end-date[channel=0100]";"discount-price[channel=0100]";"price[channel=1000]";"discount-start-date[channel=1000]";"discount-end-date[channel=1000]";"discount-price[channel=1000]";"price[channel=2000]";"discount-start-date[channel=2000]";"discount-end-date[channel=2000]";"discount-price[channel=2000]";"price[channel=5000]";"discount-start-date[channel=5000]";"discount-end-date[channel=5000]";"discount-price[channel=5000]";"price[channel=7000]";"discount-start-date[channel=7000]";"discount-end-date[channel=7000]";"discount-price[channel=7000]";"commercial-on-collection";"plt";"plt-unit";"shelflife";"shelflife-unit";"warranty";"warranty-unit";"up-sell";"cross-sell";"vendor-reference";"error-line";"error-message"
"ASNA2050DXJ4010";"ASNA2050DXJ4010";"mpnTitle";"ASNA2050DXJ4010";"";"0.34";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"267";"The product does not exist"
"ASNA2051DXJ4008";"ASNA2051DXJ4008";"mpnTitle";"ASNA2051DXJ4008";"";"0.28";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"270";"The product does not exist"
"LN9438M5X40";"LN9438M5X40";"mpnTitle";"LN9438M5X40";"";"17.85";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"315";"The product does not exist"
"LN9439M4X24";"LN9439M4X24";"mpnTitle";"LN9439M4X24";"";"5.77";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"316";"The product does not exist"
"M83248/1-222";"M83248/1-222";"mpnTitle";"PACKING";"";"0.67";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"321";"This product is not available for sale"
"M83248/1-906";"M83248/1-906";"mpnTitle";"O-RING";"";"0.35";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"322";"This product is not available for sale"
"MS20470AD4-5";"MS20470AD4-5";"mpnTitle";"RIVET";"";"0.04";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"329";"This product is not available for sale"
"MS20470AD4-8";"MS20470AD4-8";"mpnTitle";"RIVET";"";"0.12";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"330";"This product is not available for sale"
"MS24693-S5";"MS24693-S5";"mpnTitle";"SCREW";"";"0.22";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"28";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"352";"This product is not available for sale"
"MS24694S50";"MS24694S50";"mpnTitle";"SCREW";"";"0.4";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"354";"The product linked to the new offer is different from the product linked to the existing offer."
"MS24694S99";"MS24694S99";"mpnTitle";"SCREW";"";"0.7";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"356";"The product linked to the new offer is different from the product linked to the existing offer."
"MS29512-08";"MS29512-08";"mpnTitle";"O-RING";"";"0.44";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"366";"This product is not available for sale"
"MS29561-247";"MS29561-247";"mpnTitle";"MS29561-247";"";"4.75";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"370";"This product is not available for sale"
"NAS1149C0316B";"NAS1149C0316B";"mpnTitle";"Washer";"";"0.3";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"383";"This product is not available for sale"
"NAS1149D0363H";"NAS1149D0363H";"mpnTitle";"Washer";"";"0.1";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"391";"This product is not available for sale"
"NAS1919M04S02U";"NAS1919M04S02U";"mpnTitle";"RIVET";"";"7.62";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"271";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"413";"The 'leadtime-to-ship' field has an invalid value. The value must be a positive integer and must not exceed the limit defined by the operator."
"NAS43DD3-80FC";"NAS43DD3-80FC";"mpnTitle";"NAS43DD3-80FC";"";"1.81";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"420";"The product does not exist"
"NSA53114-32ADL";"NSA53114-32ADL";"mpnTitle";"NSA53114-32ADL";"";"0.61";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"423";"The product does not exist"
