sku;product-id;product-id-type;description;internal-description;price;price-additional-info;quantity;min-quantity-alert;state;available-start-date;available-end-date;logistic-class;favorite-rank;discount-start-date;discount-end-date;discount-price;update-delete;allow-quote-requests;leadtime-to-ship;min-order-quantity;max-order-quantity;package-quantity;price[channel=0100];discount-start-date[channel=0100];discount-end-date[channel=0100];discount-price[channel=0100];price[channel=1000];discount-start-date[channel=1000];discount-end-date[channel=1000];discount-price[channel=1000];price[channel=2000];discount-start-date[channel=2000];discount-end-date[channel=2000];discount-price[channel=2000];price[channel=5000];discount-start-date[channel=5000];discount-end-date[channel=5000];discount-price[channel=5000];price[channel=7000];discount-start-date[channel=7000];discount-end-date[channel=7000];discount-price[channel=7000];commercial-on-collection;plt;plt-unit;shelflife;shelflife-unit;warranty;warranty-unit;up-sell;cross-sell;vendor-reference
L23310-020030CA;mkp-000000000001715704;SKU;;;0.11;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
NAS1351-8-24P;mkp-000000000001715660;SKU;;;24.06;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
NAS1834C3K1000;mkp-000000000001715571;SKU;;;4.71;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
LN94-25040;mkp-000000000001715526;SKU;;;1.03;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
NAS1832-4-4;mkp-000000000001715551;SKU;;;3.34;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
NAS6606-32;mkp-000000000001715689;SKU;;;5.29;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
M83248/1-145;mkp-000000000001697183;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
A0164TK060S016X;mkp-000000000001651380;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
22208BC050026L;mkp-000000000001675241;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
MS35207-271;mkp-000000000001692925;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
LN9025-0310K;mkp-000000000001674446;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
LN9037-05015;mkp-000000000001676344;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
M39029/1-100;mkp-000000000001650580;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
22251BC040016L;mkp-000000000001652488;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
22202BC060005L;mkp-000000000001652486;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
22252CE050004;mkp-000000000001672935;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
NAS1739B6-5;mkp-000000000001650505;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
22125BC050015L;mkp-000000000001652498;SKU;;;6.80;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
57303-250;mkp-000000000001651644;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
AN3H5A;mkp-000000000001681899;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
993101-208-8;mkp-000000000001651300;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
23134CA060;mkp-000000000001653100;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
21217AD2407LE;mkp-000000000001674337;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
MS20470AD3-3;mkp-000000000001690623;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
E0160-1-0H;mkp-000000000001689410;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
NAS1581C3R3;mkp-000000000001694207;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
LN9439M6X40;mkp-000000000001670767;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
LN9490BK16;mkp-000000000001674596;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
22451BC140L;mkp-000000000001652732;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
23116AG080LE;mkp-000000000001653352;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
22208BC080022L;mkp-000000000001669845;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
23310CA020015;mkp-000000000001653071;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
22252BC050016L;mkp-000000000001650948;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
AN935-616L;mkp-000000000001653998;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
M85049/52-1-22W;mkp-000000000001689751;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
85007-060-010;mkp-000000000001651412;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
23111DG080A;mkp-000000000001674182;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
993503-008;mkp-000000000001652116;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
NAS1921M05S03;mkp-000000000001669622;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
M39029/1-102;mkp-000000000000071727;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
22271BC050044L;mkp-000000000001650945;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
AN4C3A;mkp-000000000001683672;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
NAS1581C3R4;mkp-000000000001683043;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
NAS1919C04S08U;mkp-000000000001673709;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
LN94-40030;mkp-000000000001677403;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
D38999-20FB35PN;mkp-000000000000064067;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
MS17990C408;mkp-000000000001672721;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
22201BE060016L;mkp-000000000001650935;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
22542K080;mkp-000000000001652935;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
EN2367-18028;mkp-000000000001650815;SKU;;;0.11;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
22209BC050006L;mkp-000000000001669881;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
ALD110363;mkp-000000000001688395;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
22272TK040010X;mkp-000000000001681223;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
AN3CH4A;mkp-000000000001691151;SKU;;;3.36;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
22232BE080034L;mkp-000000000001652175;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
NAS1802-4-19;mkp-000000000001674155;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
22201BC060007L;mkp-000000000001651483;SKU;;;3.89;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
LN9438AM5X20;mkp-000000000001686623;SKU;;;14.85;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
NAS1399CW3A8;mkp-000000000001682397;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
