"mkpCategory";"code";"mpnTitle";"description [en]";"name";"productSummary [en]";"productPresentation [en]";"productUnit";"packageContent";"packageContentUnit";"thirdLevel";"dangerous";"serialized";"logCard";"easaf1";"variantGroupCode";"eccn";"cm_code";"internalUnit";"id";"line_number";"errors"
"080_014";"FALSE";"ASNA2050DXJ4012";"ASNA2050DXJ4012";"ASNA2050DXJ4012";"ASNA2050DXJ4012";"ASNA2050DXJ4012";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA2050DXJ4012";"EAR";"";"











EA




























";"ASNA2050DXJ4012";"398";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_014";"FALSE";"ASNA2050DXJ4013";"ASNA2050DXJ4013";"ASNA2050DXJ4013";"ASNA2050DXJ4013";"ASNA2050DXJ4013";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA2050DXJ4013";"EAR";"";"











EA




























";"ASNA2050DXJ4013";"399";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_007";"FALSE";"ASNA2051DXJ4008";"ASNA2051DXJ4008";"ASNA2051DXJ4008";"ASNA2051DXJ4008";"ASNA2051DXJ4008";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA2051DXJ4008";"EAR";"";"











EA




























";"ASNA2051DXJ4008";"400";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_007";"FALSE";"ASNA2051DXJ4012";"RIVET";"ASNA2051DXJ4012";"RIVET";"RIVET";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA2051DXJ4012";"EAR";"";"











EA




























";"ASNA2051DXJ4012";"401";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_007";"FALSE";"ASNA2051DXJ4015";"ASNA2051DXJ4015";"ASNA2051DXJ4015";"ASNA2051DXJ4015";"ASNA2051DXJ4015";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA2051DXJ4015";"EAR";"";"











EA




























";"ASNA2051DXJ4015";"402";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_013";"FALSE";"ASNA2051DXJ4020";"ASNA2051DXJ4020";"ASNA2051DXJ4020";"ASNA2051DXJ4020";"ASNA2051DXJ4020";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA2051DXJ4020";"EAR";"";"











EA




























";"ASNA2051DXJ4020";"403";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_013";"FALSE";"CCR264CS4-5";"CCR264CS4-5";"CCR264CS4-5";"CCR264CS4-5";"CCR264CS4-5";"EA";"1";"EA";"false";"false";"false";"false";"false";"CCR264CS4-5";"EAR";"";"











EA




























";"CCR264CS4-5";"404";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_014";"FALSE";"DHS443-152-11";"DHS443-152-11";"DHS443-152-11";"DHS443-152-11";"DHS443-152-11";"EA";"1";"EA";"false";"false";"false";"false";"false";"DHS443-152-11";"EAR";"";"











EA




























";"DHS443-152-11";"405";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_013";"FALSE";"DHS443-152-22";"DHS443-152-22";"DHS443-152-22";"DHS443-152-22";"DHS443-152-22";"EA";"1";"EA";"false";"false";"false";"false";"false";"DHS443-152-22";"EAR";"";"











EA




























";"DHS443-152-22";"406";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_013";"FALSE";"DHS613-263-22";"DHS613-263-22";"DHS613-263-22";"DHS613-263-22";"DHS613-263-22";"EA";"1";"EA";"false";"false";"false";"false";"false";"DHS613-263-22";"EAR";"";"











EA




























";"DHS613-263-22";"407";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
