"sku;""product-id"";""product-id-type"";""description"";""internal-description"";""price"";""price-additional-info"";""quantity"";""min-quantity-alert"";""state"";""available-start-date"";""available-end-date"";""logistic-class"";""favorite-rank"";""discount-start-date"";""discount-end-date"";""discount-price"";""update-delete"";""allow-quote-requests"";""leadtime-to-ship"";""min-order-quantity"";""max-order-quantity"";""package-quantity"";""price[channel=0100]"";""discount-start-date[channel=0100]"";""discount-end-date[channel=0100]"";""discount-price[channel=0100]"";""price[channel=1000]"";""discount-start-date[channel=1000]"";""discount-end-date[channel=1000]"";""discount-price[channel=1000]"";""price[channel=2000]"";""discount-start-date[channel=2000]"";""discount-end-date[channel=2000]"";""discount-price[channel=2000]"";""price[channel=5000]"";""discount-start-date[channel=5000]"";""discount-end-date[channel=5000]"";""discount-price[channel=5000]"";""price[channel=7000]"";""discount-start-date[channel=7000]"";""discount-end-date[channel=7000]"";""discount-price[channel=7000]"";""commercial-on-collection"";""plt"";""plt-unit"";""shelflife"";""shelflife-unit"";""warranty"";""warranty-unit"";""up-sell"";""cross-sell"";""vendor-reference"";""error-line"";""error-message""",
"21217TB3213;""21217TB3213"";""mpnTitle"";""21217TB3213"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""57"";""The 'price' field is mandatory""",
"22125BC040022L;""22125BC040022L"";""mpnTitle"";""22125BC040022L"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""28"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""61"";""The 'price' field is mandatory""",
"22125BC060022L;""22125BC060022L"";""mpnTitle"";""VIS TETE HEXA"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""65"";""The 'price' field is mandatory""",
"22125BC060028L;""22125BC060028L"";""mpnTitle"";""22125BC060028L"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""66"";""The 'price' field is mandatory""",
"22125BC060034L;""22125BC060034L"";""mpnTitle"";""VIS TETE HEXA"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""67"";""The 'price' field is mandatory""",
"22125BC060042L;""22125BC060042L"";""mpnTitle"";""VIS TETE HEXA"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""68"";""The 'price' field is mandatory""",
"22125BE100036L;""22125BE100036L"";""mpnTitle"";""22125BE100036L"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""1"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""70"";""The 'price' field is mandatory""",
"22125CE060016;""22125CE060016"";""mpnTitle"";""VIS TETE HEXA"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""72"";""The 'price' field is mandatory""",
"22126BC050024L;""22126BC050024L"";""mpnTitle"";""VIS TETE HEXA"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""30"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""76"";""The 'price' field is mandatory""",
"22129BC060104L;""22129BC060104L"";""mpnTitle"";""22129BC060104L"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""78"";""The 'price' field is mandatory""",
