row_number,reason,manufacturer_name,airbus_material,manufacturer_part_number,cage_code,standard
1010424,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010425,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010426,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010427,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010428,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010429,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010430,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010431,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010432,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010433,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010434,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010435,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010436,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010437,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010438,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010439,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010440,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010441,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010442,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010443,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010444,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010445,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010446,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010447,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010448,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010449,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010450,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010451,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010452,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010453,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010454,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010455,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010456,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010457,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010458,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010459,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010460,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010461,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010462,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010463,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010464,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010465,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010466,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010467,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010468,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010469,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010470,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010471,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010472,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010473,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010474,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010475,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010476,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010477,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010478,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010479,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010480,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010481,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010482,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010483,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010484,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010485,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010486,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010487,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010488,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010489,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010490,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010491,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010492,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010493,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010494,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010495,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010496,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010497,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010498,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010499,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010500,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010501,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010502,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010503,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010504,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010505,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010506,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010507,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010508,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010509,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010510,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010511,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010512,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010513,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010514,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010515,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010516,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
