part_number,quantity,guide_price
S25-9ZY,5,4.352
LN9438M4X22,10,5.4145
"DIN433-8,4ST50B3C",20,3.502
LN9438AM4X8,20,3.6805
DIN137B5B3C,20,0.952
LN9240-8X2,1,3.3235
LN9023A14-1.4544.9,1,1.4195
DIN137A6B3C,100,0.1105
DIN137-A5-B3C,100,0.952
DIN137A5B3C,100,0.952
LN9136-04036,1,8.67
HV1201B,100,0.102
LN9139M4X8,10,1.683
MS3320-1,1,31.7305
LN9136-04024,10,13.294
LN9038-03012,10,1.428
LN9038-03010,20,1.3515
10-4804-378,1,505.8775
10-4804 378,1,505.8775
MS3181-18C,1,24.191
LN9264-6X125,2,10.761
LN9038K05032,1,2.9665
MS24658-23F,1,192.2275
MS3470L12-10P,1,62.6025
MS3105-32,1,90.185
LN9082-8X22S,1,7.871
26S8-4,2,14.382
LN9038-04035,1,2.703
LN9038-04030,5,2.431
LN9139M5X15,10,6.834
LN9438AM4X15,20,5.287
"DIN9021A5,3NRST",100,4.335
SL607M4-4S,10,16.5155
1121-23101.10,1,4.6495
MS35214-30,20,1.666
MS35214-28,20,0.714
MS35214-32,100,4.93
LN9139M5X18,1,6.783
MS24693BB31,20,4.964
LN9038-08018,2,3.1195
MS33737-11C,2,1.0965
NAS487-15,2,1.0965
LN9038-05038,10,7.0295
LN9037-05054,5,10.3615
LN9139M4X32,5,5.916
LN9438AM4X20,50,4.93
LN9439M3X15,20,4.2245
GPN260Q2222,5,0.4165
MS21919WDG15,10,2.907
LN9198-3208BF,100,0.034
LN9082-8X18,2,7.0975
NAS1738M4-4,10,2.7795
RA7608,1,185.181
R 7608,1,185.181
RA13208,1,52.904
DIN7984M4X10B2C,20,1.7
R5308,2,42.908
R5108,5,12.529
R5110,1,5.4655
R 5110,1,5.4655
MS35214-29,1,3.91
E0708G1D,3,9.639
ASNE0708G1D,3,9.639
E0708R1D,3,9.639
1121-60532.09,1,50.014
MS28775-006,5,2.516
8518-934,5,2.516
MS28775-016,5,2.2695
804016,5,2.2695
320568,10,4.4115
AJ3-25ST2,2,9.2735
LN9038-03008,20,1.2835
LN9016-04L,20,1.7425
MS35206-243,100,3.332
F32828.5,1,1841.117
MS28775-011,2,2.159
19-04-135-022,2,2.159
8535-834,2,2.159
MS3450L16-11S,1,72.063
LN9245-28-10-2,1,135.1415
LN9139M4X14,20,3.9695
LN9139M4X22,1,6.035
LN9038-04018,5,1.1815
LN9439M4X14,1,4.046
MS3416-20GN,1,40.2815
D100-00,20,2.108
D-100-00,20,2.108
MS3320-2,1,54.6295
MS3320-3,1,31.603
MS24524-31,1,84.7365
MS24523-32,1,82.6285
MS27406-1,1,147.6365
MS27407-4,1,83.045
"DIN9021A4,3CUZN",500,2.5075
14-3764P,1,45.679
MS24665-153,100,0.3485
AN743-12,2,0.4505
LN9439M5X15,5,5.0405
MS24665-151,20,0.323
AN381-2-8,20,0.323
LN65045-08,2,14.1865
LN9139M5X10,1,5.6865
13-3737P-B,1,954.057
13-3737P,1,954.057
LN29681AM5,2,1.4705
DIN7984M5X10SK-B2C,50,1.921
MS21919WDG3,10,0.765
LN9037K08062,2,3.0005
"R32-10-16X1,5",1,65.569
R32 10 16 150,1,65.569
MS21919WDG16,10,1.496
MS21919WDG12,10,2.159
MS21919WH6,5,2.3205
MS21919WH7,5,1.9635
4619306006,1,60.6815
4619 306 006,1,60.6815
4619.306.006,1,60.6815
LN9016-16K,5,14.807
LN29668AM4,5,2.4735
LN29691A04M,10,1.9465
LN65045-06,2,3.179
LN9439M4X22,20,4.93
105-90022.34,1,85.7565
LN9139M5X14,1,5.7545
GPN700A-M10X1,50,2.023
117-64661-03,1,1475.549
LN65049-40L,10,0.7565
MS21919WDG2,5,2.482
26S8-5,5,14.4755
"DIN94-1,6X12ST",100,0.3145
1343-85,1,1121.5495
LN9342B11,2,12.784
8400-041-020,1,128.027
8400-041-0020,1,128.027
320560,20,0.612
MIL-T43435TP2SZ5FIN.B,1,64.9315
LN9198-2414B,50,0.0935
130663,10,1.989
"WALZ-BLANK-AL99,5-0,15",6,12.4015
MS28775-018,5,2.312
8550-634,5,2.312
LN9438AM6X16,1,5.6695
LN9136-03008,10,3.808
LN9439M3X14,10,3.1365
LN1434-05X16,2,23.63
"DIN125-4,3MS",100,1.4025
LN29552M4,5,4.862
DIN7984M4X12B2C,20,1.5895
R5608,1,62.067
LN9439M3X18,20,3.2385
AE99537F,1,1006.825
AE96512F,1,1563.32
AE99296F,1,1164.738
AE97094F,1,1469.7605
LN65045-05,5,2.159
LN29693AM5,1,4.233
MS3459L10SL3S,1,119.204
LN9139M4X28,10,5.44
LN9139M4X20,2,1.2155
LN9038K06028,10,3.145
LN9038-05024,10,2.4055
105-14101.38.5,1,461.703
LN9438AM5X15,5,3.145
MS35206-245,100,3.9185
BCE500,100,3.9185
LN9025-0815L,10,3.978
LN9025-0610L,100,0.3825
LN6799-070,1,5.0405
LN9198-4011BF,5,4.8875
MS3181-14C,1,20.6805
LN9342A06,10,1.326
20100,1,4518.532
MS21919WDG11,10,4.0885
MS21919WDG9,20,1.7765
MS21919WDG8,20,1.003
LN9025-0815K,10,3.706
LN9025-0615K,50,1.887
LN9025-1015N,20,11.713
105-60386,1,455.7445
LN9139M4X10,10,0.9435
4002-11,2,16.9065
NSA55137-111,2,16.9065
LN9178-2409E,10,0.306
23032-1586,1,514.0375
PE60001K08,1,58.3525
LN9240-6X2,1,2.38
MS21919WH13,5,5.0915
MS21919WH20,5,3.7995
D38999-26FJ35SN,1,142.8
244-16D,5,30.9145
401CAD,1,1.5555
LN9038-05040,20,3.264
LN9038-05034,5,2.958
BR57,10,14.9345
SB57,10,14.9345
SB57-,10,14.9345
LN9139M3X14,5,4.25
LN9136-05016,5,2.057
LN9178-3206E,100,0.391
LN9438AM5X16,10,6.3325
DIN127-B3ST-A2K,100,3.4425
KS4815-1,10,12.869
LN29882-3C2-45,1,126.1315
MS24523-23,1,92.089
LN9237-12,1,6.613
LN9016-10L,5,1.224
117-64641-01,1,322.626
117-64620-11,1,50.49
117-64645-11,1,257.7965
151PS01A6A,1,287.521
320551,50,0.7565
117-72595-01,1,110.7125
LN29952-0510K,10,0.561
MS25253-1,1,28.543
LN9023B10-1.4544.9,50,5.0405
117-24202-23,1,534.6585
MS27980-7C,2,5.1
JV20,1,26.537
JV-20,1,26.537
PLT5S-0,5,0.986
LN1434-05X10,2,11.9
LN9439M4X16,20,4.148
40S41-8SW,1,20.366
SL850-M4C2C,2,20.587
LN9025-0615N,20,1.275
4639305088,1,4723.518
4639 305 088,1,4723.518
4639.305.088,1,4723.518
LN9038-05008,20,1.598
"NYLON12-4,X1,",10,2.567
DIN73378-6X1-PA12-HIPHL-NF,10,2.567
LN9037-05048,5,9.6305
"LN9264-1,5X125",1,6.613
DIN84M4X16MS,50,5.6865
MS21916D5-4,1,28.7045
MS28778-5,20,1.972
MS21046C4,10,2.618
FDT16163,1,2960.0995
DAN7-5-5,5,2.839
LN29952-0615K,10,8.5085
LN9139M5X16,5,6.0605
LN9038-04028,5,2.176
LN9139M4X18,20,5.576
DAN7-5-6,10,9.6135
DAN12-5,1,1.802
454C01,1,884.986
LN9028A12,10,34.901
3747-716,2,5.7205
AN3-4A,10,1.9805
PS3-1-2,20,1.411
PS3-1-2-38,20,1.411
76-5000,20,1.411
MS3181-10C,1,73.8735
AN4CH5A,5,12.206
LN9038K04012,10,1.4875
LN9342B10,1,15.3765
HM10BCL100,1,7.157
HM10 BCL 100,1,7.157
