part_number,quantity,guide_price
LN9139M4X10,10,0.9435
LN9178-2409E,10,0.306
NAS1102-08-10,10,0.85
425-50,55,1.921
LN9240-6X2,1,2.38
8655-3140,1,33.6685
MS21919WH13,5,5.0915
MS21919WH20,5,3.7995
LN9441M5X25,5,6.477
D38999-26FJ35SN,1,142.8
244-16D,5,30.9145
401CAD,1,1.5555
LN9038-05040,20,3.264
LN9038-05034,5,2.958
LN9139M3X14,5,4.25
LN9136-05016,5,2.057
LN9178-3206E,100,0.391
LN9438AM5X16,10,6.3325
MS35214-16,10,3.111
LN29882-3C2-45,1,126.1315
MS24524-21,1,143.2675
MS24523-23,1,92.089
EN3308-060028F,1,7.6925
LN9237-12,1,6.613
"OR11X1,5-72NBR872",1,2.975
"OR   LU  11,00  1,50 72 NBR  ",1,2.975
MS3456W20-24S,1,70.414
LN9016-10L,5,1.224
320551,50,0.7565
LN29952-0510K,10,0.561
151-0,1,466.8455
WSM46,5,2.295
RSN 46,5,2.295
RSN-46,5,2.295
RSN46,5,2.295
MS27980-7C,2,5.1
H0HEITSZEICHEN155X255,1,10.8035
HOHEITSZEICHEN ,1,10.8035
B111M3106202,1,10.8035
PLT5S-0,5,0.986
LN1434-05X10,2,11.9
LN9439M4X16,20,4.148
4002SW-SS,1,13.719
4002-SW-SS,1,13.719
NSA55184-2,1,13.719
LN9038-05008,20,1.598
"NYLON12-4,X1,",10,2.567
DIN73378-6X1-PA12-HIPHL-NF,10,2.567
BWT12-2080630L,1,396.0575
MS28778-5,20,1.972
DAN7-5-5,5,2.839
LN29952-0615K,10,8.5085
LN9139M5X16,5,6.0605
LN9038-04028,5,2.176
LN9139M4X18,20,5.576
DAN7-5-6,10,9.6135
DAN7-5-8,10,1.6575
DAN12-5,1,1.802
LN9028A12,10,34.901
AN3-4A,10,1.9805
LN29796-0406,1,2.652
NAS501-3-3A,1,1.6065
MS3181-10C,1,73.8735
LN29952-0306L,10,0.799
AN4CH5A,5,12.206
LN9038K04012,10,1.4875
LN9499A02040,5,1.1645
212-12S,1,33.898
212-12N,10,18.02
MS21919WH14,5,3.519
LN9025-0405L,20,1.2155
LN9439M4X30,20,4.76
2600SW,50,1.921
LN9178-3209E,20,0.3145
LN9499-04090,5,0.255
LN94-30030,100,0.3485
4639302037,1,141.9245
4639 302 037,1,141.9245
4639.302.037,1,141.9245
MS3187A20,5,0.0595
MS35207-204,100,2.4905
NAS1096-3-8,2,0.7225
LN9499-04060,5,0.306
LN9199-24045B,100,0.034
MS24693S2,50,0.068
MS21919WH12,5,4.777
MS21919WH9,5,1.6405
LN9439M5X46,5,7.8795
LN9038K06012,10,1.921
LN9038-05032,10,2.601
HV1201,100,7.548
HV1203,100,0.2975
LN9038K06034,10,3.5445
MS21919WDG20,5,6.256
40T16K,1,843.268
1N4007,5,16.711
RNF-100-1/16-9,60,2.0315
RNF100TYP1-.1/16WS,60,2.0315
LN9238-3,1,4.335
LN94-20025,100,0.187
LN9198-4018B,200,0.0765
LN9355-6X12,10,28.696
LN9038K05036,1,13.9825
LN9016-08K,20,3.1365
LN29952-0515K,5,4.369
OR120X3-70NBR812,1,28.781
"OR   DS 120,00  3,00 70 NBR  ",1,28.781
2919,1,15.623
006-08755-0001,1,140.4285
4000020-002,1,1749.2915
DIN3017-A-90-110X9-W4,2,5.185
DIN3017AL90-110C6-W4,2,5.185
DIN3017-A-90-110X9-C6-W4,2,5.185
DIN3017-A-30-45X9-W4,1,3.6295
DIN3017AL30-45C6-W4,1,3.6295
DIN3017-A-30-45X9-C6-W4,1,3.6295
"LN9093-0,8",250,0.2635
DIN7984M6X50A2-70,2,5.967
LN9179-2412E,100,0.051
LN9178-2405E,100,0.0595
LN9178-2410E,100,0.34
LN9178-3207E,200,0.2975
LN9178-3208E,100,0.391
LN9178-3211E,10,0.2635
LN29952-0310M,10,6.63
MS21919WH3,5,2.6945
MS21919WH4,10,2.8985
MS21919WH8,5,2.7965
LN9139M3X22,2,10.88
1121-41904.20,10,3.9355
DIN7984M5X12B2C,1,0.17
LN29794-04X12,5,4.0885
"DIN84M2,5X6-4.8B2C",5,3.9695
"DIN9021A4,3NRST",100,2.312
LN9198-3215B,100,0.102
MS21043-4,2,1.377
NAS1097AD3-4,10,0.8585
LN9343B08,10,13.77
GPN300F19,10,0.1275
47S08B,1,422.9685
LN9025-0620L,10,3.0345
607300,1,5.6015
"LN9297-3.7024.1-0,6",3,311.6865
BWT11913-3,1,522.1805
BWT13-22800440A,1,305.4305
BWT13-22800250A,1,229.755
BWT13-22201430A,1,419.832
BWT13-22800600A,1,364.055
