Cherry_Canonical,Cherry_Erroneous,ALLFAST,NAS,ASNA,MS,AGUSTA
CR3522-4-27,,AF3522-4-27,NAS9308M-4-27,ASNA0077E427,,
CR3522-4-28,,AF3522-4-28,NAS9308M-4-28,ASNA0077E428,,
CR3522-4-29,,AF3522-4-29,NAS9308M-4-29,ASNA0077E429,,
CR3522-4-30,,AF3522-4-30,NAS9308M-4-30,ASNA0077E430,,
CR3522-4-31,,AF3522-4-31,NAS9308M-4-31,ASNA0077E431,,
CR3522-4-32,,AF3522-4-32,NAS9308M-4-32,ASNA0077E432,,
CR3522-4-33,,AF3522-4-33,NAS9308M-4-33,ASNA0077E433,,
CR3522-4-34,,AF3522-4-34,NAS9308M-4-34,ASNA0077E434,,
CR3522-4-35,,AF3522-4-35,NAS9308M-4-35,ASNA0077E435,,
CR3522-4-36,,AF3522-4-36,NAS9308M-4-36,ASNA0077E436,,
CR3522-4-37,,AF3522-4-37,NAS9308M-4-37,ASNA0077E437,,
CR3522-4-38,,AF3522-4-38,NAS9308M-4-38,ASNA0077E438,,
CR3522-4-39,,AF3522-4-39,NAS9308M-4-39,ASNA0077E439,,
CR3522-4-40,,AF3522-4-40,NAS9308M-4-40,ASNA0077E440,,
CR3522-5-01,CR3522-5-1,AF3522-5-01,NAS9308M-5-01,ASNA0077E501,,
CR3522-5-02,CR3522-5-2,AF3522-5-02,NAS9308M-5-02,ASNA0077E502,,
CR3522-5-03,CR3522-5-3,AF3522-5-03,NAS9308M-5-03,ASNA0077E503,,
CR3522-5-04,CR3522-5-4,AF3522-5-04,NAS9308M-5-04,ASNA0077E504,,
CR3522-5-05,CR3522-5-5,AF3522-5-05,NAS9308M-5-05,ASNA0077E505,,
CR3522-5-06,CR3522-5-6,AF3522-5-06,NAS9308M-5-06,ASNA0077E506,,
CR3522-5-07,CR3522-5-7,AF3522-5-07,NAS9308M-5-07,ASNA0077E507,,
CR3522-5-08,CR3522-5-8,AF3522-5-08,NAS9308M-5-08,ASNA0077E508,,
CR3522-5-09,CR3522-5-9,AF3522-5-09,NAS9308M-5-09,ASNA0077E509,,
CR3522-5-10,,AF3522-5-10,NAS9308M-5-10,ASNA0077E510,,
CR3522-5-11,,AF3522-5-11,NAS9308M-5-11,ASNA0077E511,,
CR3522-5-12,,AF3522-5-12,NAS9308M-5-12,ASNA0077E512,,
CR3522-5-13,,AF3522-5-13,NAS9308M-5-13,ASNA0077E513,,
CR3522-5-14,,AF3522-5-14,NAS9308M-5-14,ASNA0077E514,,
CR3522-5-15,,AF3522-5-15,NAS9308M-5-15,ASNA0077E515,,
CR3522-5-16,,AF3522-5-16,NAS9308M-5-16,ASNA0077E516,,
CR3522-5-17,,AF3522-5-17,NAS9308M-5-17,ASNA0077E517,,
CR3522-5-18,,AF3522-5-18,NAS9308M-5-18,ASNA0077E518,,
CR3522-5-19,,AF3522-5-19,NAS9308M-5-19,ASNA0077E519,,
CR3522-5-20,,AF3522-5-20,NAS9308M-5-20,ASNA0077E520,,
CR3522-5-21,,AF3522-5-21,NAS9308M-5-21,ASNA0077E521,,
CR3522-5-22,,AF3522-5-22,NAS9308M-5-22,ASNA0077E522,,
CR3522-5-23,,AF3522-5-23,NAS9308M-5-23,ASNA0077E523,,
CR3522-5-24,,AF3522-5-24,NAS9308M-5-24,ASNA0077E524,,
CR3522-5-25,,AF3522-5-25,NAS9308M-5-25,ASNA0077E525,,
CR3522-5-26,,AF3522-5-26,NAS9308M-5-26,ASNA0077E526,,
CR3522-5-27,,AF3522-5-27,NAS9308M-5-27,ASNA0077E527,,
CR3522-5-28,,AF3522-5-28,NAS9308M-5-28,ASNA0077E528,,
CR3522-5-29,,AF3522-5-29,NAS9308M-5-29,ASNA0077E529,,
CR3522-5-30,,AF3522-5-30,NAS9308M-5-30,ASNA0077E530,,
CR3522-5-31,,AF3522-5-31,NAS9308M-5-31,ASNA0077E531,,
CR3522-5-32,,AF3522-5-32,NAS9308M-5-32,ASNA0077E532,,
CR3522-5-33,,AF3522-5-33,NAS9308M-5-33,ASNA0077E533,,
CR3522-5-34,,AF3522-5-34,NAS9308M-5-34,ASNA0077E534,,
CR3522-5-35,,AF3522-5-35,NAS9308M-5-35,ASNA0077E535,,
CR3522-5-36,,AF3522-5-36,NAS9308M-5-36,ASNA0077E536,,
CR3522-5-37,,AF3522-5-37,NAS9308M-5-37,ASNA0077E537,,
CR3522-5-38,,AF3522-5-38,NAS9308M-5-38,ASNA0077E538,,
CR3522-5-39,,AF3522-5-39,NAS9308M-5-39,ASNA0077E539,,
CR3522-5-40,,AF3522-5-40,NAS9308M-5-40,ASNA0077E540,,
CR3522-6-01,CR3522-6-1,AF3522-6-01,NAS9308M-6-01,ASNA0077E601,,
CR3522-6-02,CR3522-6-2,AF3522-6-02,NAS9308M-6-02,ASNA0077E602,,
CR3522-6-03,CR3522-6-3,AF3522-6-03,NAS9308M-6-03,ASNA0077E603,,
CR3522-6-04,CR3522-6-4,AF3522-6-04,NAS9308M-6-04,ASNA0077E604,,
CR3522-6-05,CR3522-6-5,AF3522-6-05,NAS9308M-6-05,ASNA0077E605,,
CR3522-6-06,CR3522-6-6,AF3522-6-06,NAS9308M-6-06,ASNA0077E606,,
CR3522-6-07,CR3522-6-7,AF3522-6-07,NAS9308M-6-07,ASNA0077E607,,
CR3522-6-08,CR3522-6-8,AF3522-6-08,NAS9308M-6-08,ASNA0077E608,,
CR3522-6-09,CR3522-6-9,AF3522-6-09,NAS9308M-6-09,ASNA0077E609,,
CR3522-6-10,,AF3522-6-10,NAS9308M-6-10,ASNA0077E610,,
CR3522-6-11,,AF3522-6-11,NAS9308M-6-11,ASNA0077E611,,
CR3522-6-12,,AF3522-6-12,NAS9308M-6-12,ASNA0077E612,,
CR3522-6-13,,AF3522-6-13,NAS9308M-6-13,ASNA0077E613,,
